Top100,Name,Pos,Org,Age,H,W,B,T,Hit,Pitch Sel,Bat Ctrl,Game,Raw,Spd,Fld,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId
,Jesus Cruz,SIRP,ATL,27.3083333,"6' 1""",225,R,R,,,,,,,,Sink,55 / 55,55 / 55,,50 / 50,30 / 35,2200,2750,94-96,98,35+,20042
,Matt Cronin,SIRP,WSN,24.8777777,"6' 2""",197,L,L,,,,,,,,Rise,60 / 65,,55 / 60,40 / 45,40 / 45,2400,2550,93-95,96,35+,sa3011463
,Jasseel De La Cruz,SIRP,ATL,25.1111111,"6' 1""",175,R,R,,,,,,,,Rise,60 / 60,60 / 60,,40 / 40,30 / 30,2300,2750,94-98,99,35+,sa879559
,Reiver Sanmartin,SP,CIN,26.3083333,"6' 2""",160,L,L,,,,,,,,Sink/Tail,30 / 30,45 / 45,,50 / 50,60 / 60,2250,2100,88-91,93,35+,19754
,Mitchell Parker,MIRP,WSN,22.8583333,"6' 4""",224,L,L,,,,,,,,Rise,50 / 55,,55 / 55,30 / 40,30 / 40,,,89-92,94,35+,sa3014973
,Austin Smith,SIRP,ATL,23.1222222,"6' 4""",210,R,R,,,,,,,,Rise,60 / 60,,45 / 50,,30 / 40,,,94-97,98,35+,sa3017071
,Andrew Moore,SIRP,CIN,22.9861111,"6' 5""",205,R,R,,,,,,,,Rise/Run,55 / 60,45 / 50,60 / 70,,30 / 40,,,93-97,98,35+,sa3016795
,Alexis Diaz,SIRP,CIN,25.8555555,"6' 2""",224,R,R,,,,,,,,Tail,55 / 55,50 / 55,,,40 / 45,2700,2200,92-95,97,35+,21132
,Jose A. Ferrer,SIRP,WSN,22.425,"6' 1""",215,L,L,,,,,,,,Sink/Tail,55 / 55,45 / 50,,50 / 55,35 / 55,,,93-95,97,35+,sa3006373
,Stevie Branche,SIRP,CIN,25.2166666,"6' 4""",205,R,R,,,,,,,,Rise,55 / 60,50 / 60,,,30 / 40,2500,2150,94-96,97,35+,sa3014866
,Adam Shoemaker,SIRP,ATL,19.7111111,"6' 6""",205,L,L,,,,,,,,Rise,50 / 60,,40 / 50,40 / 50,20 / 40,,,91-95,97,35+,sa3017888
,Chris McElvain,SP,CIN,21.8916666,"6' 0""",205,R,R,,,,,,,,,40 / 45,55 / 60,,30 / 45,30 / 45,,,,,35+,
