Name,Pos,Age,Frame,Athl,Levers,Arm,Perf,Delivery,playerId
Luis Toribio,3B,22.0305555,-1,-1,Short,55,1,,sa3005541
Manuel Mercedes,SP,20.05,1,1,Long,,,-1,sa3015214
Edwin Arroyo,SS,19.1222222,,,Short,50,,,sa3017626
Will Bednar,SP,22.3222222,-1,-1,Long,,2,-1,sa3017844
Austin Hendrick,RF,21.3166666,,1,Med,55,-1,,sa3014521
Matt Mikulski,MIRP,23.4194444,-1,-1,Short,,1,-1,sa3017874
Chase Petty,SIRP,19.5138888,1,1,Med,,1,-1,sa3017963
Cade Hunter,C,21.8611111,1,1,Med,45,,,sa3020199
Jay Allen II,CF,19.8805555,1,1,Med,50,,,sa3017403
Rece Hinds,RF,22.0944444,1,,Med,60,-1,,sa1169587
Bryce Bonnin,SIRP,23.9944444,1,,Long,,-1,-1,sa3014453
Carson Spiers,SP,24.9111111,,,,,,,sa3014863
Yerlin Confidan,RF,19.8138888,2,1,Med,60,1,,sa3015176
Matheu Nelson,C,23.7361111,-1,-1,Med,55,1,,sa3017328
Lyon Richardson,SP,22.725,,1,Short,,,,sa3007727
Stephen Ridings,SIRP,27.1527777,1,1,Long,,1,,22358
Ky Bush,SIRP,22.9083333,,,Med,,-1,,sa3017386
Deivi Garcia,SP,23.3888888,-1,1,Short,,,1,20276
Edgar Quero,C,19.5083333,,,Short,50,1,,sa3015239
Justin Lange,SP,21.0777777,,1,Long,,-1,,sa3014517
Denzer Guzman,SS,18.6694444,1,1,Med,45,,,sa3015711
Randy Vasquez,MIRP,23.9333333,-1,1,Short,,1,-1,sa3007933
Janson Junk,SP,26.7333333,,1,Short,,1,1,23301
Adrian Placencia,2B,19.3527777,-2,1,Short,45,1,,sa3014688
Jeremiah Jackson,SS,22.5361111,1,1,Med,55,-1,,sa3007740
Jordyn Adams,CF,22.975,2,2,Long,50,-1,,sa3008032
Werner Blakely,3B,20.6333333,2,1,Long,55,-1,,sa3014502
Spencer Schwellenbach,SP,22.3583333,-1,1,Short,,-1,,
Diego Benitez,3B,17.8888888,,,Med,60,,,sa3018391
Geraldo Quintero,SS,20.9972222,,1,Short,45,1,,sa3008942
AJ Smith-Shawver,SP,19.8861111,1,1,Med,,,1,sa3017690
Tink Hence,SP,20.175,1,1,Med,,1,2,sa3014709
Zack Thompson,SP,24.9472222,,,Med,,,,25918
Max Muncy,SS,20.1222222,,,Med,50,1,,sa3017290
Alec Burleson,RF,23.8722222,-1,,Med,50,1,,27615
Colin Peluse,MIRP,24.3277777,-1,1,Med,,,1,sa3011126
Michael McGreevy,SP,22.2527777,1,1,Long,,1,1,sa3017598
Jeff Criswell,MIRP,23.5805555,,-1,Long,,,-1,sa3014435
Jonathan Mejia,SS,17.4916666,1,1,Med,50,,,sa3018411
Jordan Diaz,3B,22.1555555,-1,-1,Short,55,2,,22650
Lawrence Butler,1B,22.2472222,2,,Long,,,,sa3006873
Leandro Arias,SS,17.6777777,1,1,Short,55,1,,sa3018433
Connor Norby,2B,22.3361111,-1,,Med,40,2,,sa3017019
Cesar Prieto,2B,23.4138888,-1,,Short,40,2,,sa3018100
Jhonkensy Noel,1B,21.2333333,-2,-1,Med,55,1,,sa3005579
Drew Rom,SP,22.8166666,1,1,Med,,1,2,sa3007848
Ethan Hankins,SP,22.3777777,-1,,Long,,-2,-1,sa3008589
Seth Johnson,SP,24.0555555,,1,Long,,-1,1,sa3011342
Cody Morris,MIRP,25.9305555,,-1,Med,,1,-1,25388
Reed Trimble,CF,22.3416666,,2,Short,55,1,,sa3017180
Angel Genao,SS,18.3888888,1,1,Med,45,,,sa3015706
Isaiah Greene,CF,21.1111111,1,1,Long,45,,,sa3014460
